Time,,,,Ambient Temp [C],Therm1 [volts],Battery Raw Reading,Flag,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32
0.5,0,0,0,36,1.208496,4095,0,5.75471745,2.75512772,5.40354248,4.81521552,0.70934049,0.34839856,4.44811198,2.49831932,1.62059032,1.83636673,1.33139191,0.55917853,0.75543603,0.51838622,1.25653255,1.17722054,0.81335711,0.78762207,0.74376345,0.92553308,0.51490049,0.59688194,0.76372747,2.12623577,0.57731123,1.98345345,0.27792444,0.9080661,1.03204157,2.78505748,0.46038985,0.47847432
1.1,0,0,0,36,1.212158,4095,0,5.75440436,2.75483785,5.403333,4.8151117,0.70932141,0.34840209,4.44804741,2.49811604,1.62065008,1.83620864,1.33132122,0.55920314,0.75541042,0.51838441,1.25650208,1.17721404,0.81336056,0.78761286,0.74375757,0.92551956,0.5149135,0.59686877,0.76375514,2.12623678,0.57730725,1.98338848,0.27792227,0.90810071,1.03209657,2.78507902,0.46038523,0.47847959
1.7,0,0,0,36,1.210938,4095,0,5.7550836,2.75498478,5.40354561,4.81508907,0.7093182,0.34841444,4.44782265,2.49828524,1.62075416,1.83634597,1.33142371,0.55920645,0.75542583,0.51837377,1.25655491,1.17719609,0.81337239,0.78758693,0.74373239,0.92547979,0.51490549,0.59689299,0.76373796,2.12614347,0.57730452,1.98314377,0.27794998,0.90808472,1.03208523,2.78509248,0.46041196,0.47846887
2.3,0,0,0,36,1.212769,4095,0,5.75507847,2.75485048,5.40374729,4.81515296,0.70930395,0.34838902,4.44792427,2.49840481,1.62078622,1.83636629,1.33140206,0.55919797,0.75543769,0.51840248,1.25653028,1.1772094,0.81335612,0.78759541,0.74376745,0.92553255,0.51491571,0.59689788,0.76377851,2.12612217,0.57730222,1.98329932,0.27792794,0.90807554,1.0320841,2.78488253,0.46040985,0.47847666
2.8,0,0,0,36,1.213379,4095,0,5.75534198,2.75485979,5.4039224,4.81553367,0.7093267,0.34839838,4.44801035,2.4982111,1.62077949,1.83626296,1.33141728,0.55918743,0.75541279,0.51839626,1.25656852,1.17723911,0.81337387,0.7876228,0.74377357,0.92549437,0.51492812,0.59687366,0.76375609,2.12632096,0.57730285,1.98333488,0.2779206,0.90808131,1.03210706,2.78503124,0.46041062,0.47847803
3.3,0,0,0,36,1.213379,4095,0,5.75507333,2.75473148,5.40319387,4.81456601,0.70929613,0.34839538,4.44795894,2.49827148,1.62086261,1.83632301,1.33138244,0.55922259,0.75545168,0.5184069,1.25660061,1.17721095,0.81339384,0.78760583,0.74379757,0.92552195,0.5149115,0.59685432,0.76379878,2.12620635,0.57730327,1.98342167,0.27792711,0.90812064,1.03208438,2.78484619,0.46043293,0.4784792
3.9,0,0,0,36,1.209106,4095,0,5.75543781,2.75472417,5.40320325,4.81544048,0.70935612,0.34840138,4.44764691,2.49801561,1.62087132,1.8363866,1.33145483,0.55920832,0.75544908,0.51841312,1.25651148,1.1772453,0.81339014,0.78763055,0.7437691,0.92551823,0.51491931,0.59691233,0.76374846,2.1262454,0.57730767,1.98344159,0.27792344,0.9080758,1.03212889,2.78499423,0.46042504,0.47848271
4.4,0,0,0,36,1.210938,4095,0,5.75475509,2.7550619,5.40308445,4.81531935,0.70931613,0.34839467,4.44771386,2.49805447,1.62079176,1.83632169,1.33145584,0.55922279,0.75542773,0.51839686,1.2565938,1.17716763,0.81338398,0.78764413,0.74376698,0.92556649,0.51492392,0.59688704,0.76377469,2.12631386,0.57730515,1.9834876,0.27792127,0.90810963,1.03212832,2.78511738,0.4604312,0.4784829
5,0,0,0,36,1.212158,4095,0,5.7547568,2.75485713,5.40386299,4.81576131,0.70932509,0.3484035,4.44768756,2.49827328,1.62085153,1.83630491,1.33151267,0.55919963,0.75544813,0.51839465,1.25654065,1.1771667,0.81337313,0.78761529,0.74376251,0.92559036,0.51492772,0.59686919,0.76381548,2.12633719,0.57731374,1.98341361,0.27792026,0.90807344,1.03212832,2.78544781,0.46043485,0.47848778
5.6,0,0,0,36,1.212769,4095,0,5.7548971,2.75471486,5.4036144,4.81575466,0.70934348,0.34839467,4.44760747,2.49806284,1.62073714,1.83634067,1.33144773,0.55919694,0.75542939,0.51837638,1.2565938,1.1772029,0.81337486,0.78763055,0.74374345,0.92553998,0.51492071,0.59688215,0.76375967,2.12628141,0.57731542,1.98344918,0.27793128,0.9080994,1.03217538,2.78513218,0.46044966,0.47850084
