Time,,,,Ambient Temp [C],Therm1 [volts],Battery Raw Reading,Flag,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32
0.5,0,0,0,34.6,1.212158,4095,0,5.87582672,2.80616929,5.49136886,4.91100608,0.70528984,0.35255398,4.50113784,2.49540164,1.63805521,1.84366432,1.33524571,0.5585086,0.75585423,0.52078512,1.25582616,1.18178534,0.81598714,0.78587333,0.75279391,0.91198301,0.51551462,0.59570291,0.76915682,2.19244346,0.57857992,2.01217706,0.27884445,0.90340381,1.04258356,2.81664744,0.46207876,0.47902729
1.2,0,0,0,34.6,1.213989,4095,0,5.87614766,2.8064523,5.49103615,4.91112917,0.70531276,0.35258409,4.50070299,2.4953258,1.63810154,1.84379506,1.33537283,0.55849641,0.75585162,0.52078734,1.25589581,1.18180923,0.81597183,0.78588084,0.75278775,0.91200903,0.51552864,0.5956923,0.76915036,2.19246803,0.57857258,2.01223619,0.27885799,0.90340799,1.04263406,2.81670673,0.46212036,0.47904016
1.7,0,0,0,34.6,1.210327,4095,0,5.87593605,2.80626091,5.49092738,4.91074624,0.70529878,0.35256036,4.5011755,2.49536282,1.63814587,1.84373478,1.3352752,0.55851729,0.75582765,0.52078271,1.25585855,1.18181481,0.8160022,0.7858835,0.7527906,0.91202296,0.51551381,0.59570355,0.76915778,2.19251351,0.57856775,2.01217946,0.27885548,0.90341714,1.04264576,2.81658543,0.46213942,0.47905576
2.2,0,0,0,34.6,1.213989,4095,0,5.87566802,2.80621205,5.4912041,4.91096232,0.70533339,0.35257683,4.50150471,2.49538193,1.63807278,1.84371839,1.33521147,0.55851129,0.7558649,0.52079075,1.25588674,1.18185918,0.81599183,0.78587261,0.7528164,0.91206897,0.51552463,0.59570928,0.76917118,2.1924445,0.57857572,2.0121535,0.27885565,0.90343073,1.0426352,2.81679873,0.46216831,0.47905537
2.8,0,0,0,34.6,1.210938,4095,0,5.87582672,2.8063566,5.49153682,4.91108814,0.70531734,0.35257931,4.50169909,2.4951819,1.63807318,1.84374985,1.33516944,0.55851584,0.75584829,0.52079297,1.25590099,1.18183281,0.81599825,0.7859307,0.7528183,0.91207528,0.51552604,0.59570185,0.76919775,2.19255167,0.57857404,2.01202417,0.27885966,0.90343361,1.04262464,2.81654591,0.46219739,0.47906181
3.3,0,0,0,34.6,1.212158,4095,0,5.87607888,2.80645501,5.49078503,4.91150257,0.7053405,0.35258781,4.50147677,2.4953891,1.63809874,1.84372503,1.33526232,0.55849579,0.75587083,0.52080222,1.25592918,1.18181295,0.81597924,0.78592634,0.75279912,0.9120227,0.51551902,0.59569081,0.7691731,2.19250514,0.57858285,2.01212994,0.27886083,0.90345897,1.04267743,2.81661746,0.4622155,0.47906122
3.9,0,0,0,34.6,1.212769,4095,0,5.87622349,2.80654257,5.49078503,4.9114205,0.70539597,0.35258799,4.50177928,2.49547151,1.63813309,1.84367983,1.33529452,0.55850902,0.75590357,0.52079256,1.25589581,1.18186725,0.8160022,0.78591715,0.75279959,0.91206371,0.51552383,0.59569888,0.76919153,2.19247273,0.57856608,2.01220831,0.27885581,0.9034689,1.04269798,2.81652001,0.46224304,0.47905868
4.5,0,0,0,34.6,1.212158,4095,0,5.87610357,2.80634031,5.49160081,4.91133023,0.70541018,0.35257063,4.50161769,2.49557123,1.63816144,1.84370553,1.33531758,0.55851646,0.75589598,0.52080664,1.25590326,1.18182784,0.81601134,0.78592659,0.75279675,0.91202743,0.51553365,0.59568508,0.76918602,2.19250828,0.57857258,2.01243334,0.27885932,0.90343858,1.04270397,2.81641848,0.46223764,0.47906064
5,0,0,0,34.6,1.210938,4095,0,5.8758567,2.80652356,5.49138645,4.91109088,0.70539758,0.35258462,4.50160919,2.49538671,1.63819939,1.84378176,1.33540979,0.55851853,0.75589195,0.52081469,1.25588447,1.18188525,0.81600047,0.78593312,0.75281403,0.91208185,0.51553485,0.59570801,0.76921427,2.19256317,0.57858243,2.01216359,0.27885531,0.90346603,1.04269398,2.81632445,0.46227192,0.47905673
5.6,0,0,0,34.6,1.210938,4095,0,5.87601364,2.80658397,5.4908586,4.91115926,0.70548927,0.35258976,4.50123259,2.49552525,1.63826449,1.84378575,1.3353986,0.55854995,0.75586917,0.52080564,1.25588577,1.18187035,0.81600615,0.78595249,0.75280456,0.91210525,0.51553726,0.59571374,0.76922768,2.19258251,0.57857677,2.01216119,0.27885815,0.90346394,1.0426546,2.81645255,0.46229523,0.47904523
6.2,0,0,0,34.6,1.208496,4095,0,5.87613884,2.80657243,5.49055153,4.91114422,0.70548721,0.35258976,4.5012168,2.4953258,1.63835915,1.84372592,1.33544301,0.55851832,0.75586727,0.52079196,1.25590942,1.18183715,0.81595429,0.78596024,0.75281167,0.91210498,0.51552924,0.59572223,0.76920996,2.19254592,0.5785881,2.01238237,0.27885966,0.9034676,1.04270483,2.81664744,0.46232971,0.47906746
6.7,0,0,0,34.6,1.211548,4095,0,5.87644217,2.80646451,5.49110812,4.91078453,0.70551128,0.35259153,4.50105524,2.49547688,1.63827327,1.84379861,1.33543555,0.55854333,0.75587154,0.52081026,1.25590488,1.18190542,0.81597479,0.78597258,0.75279533,0.91210446,0.51553605,0.59570843,0.76922816,2.19260028,0.57858726,2.01222225,0.27885548,0.90345505,1.04266117,2.81672036,0.46234088,0.47907097
7.2,0,0,0,34.6,1.212158,4095,0,5.87673141,2.8064109,5.49162961,4.91151625,0.70554727,0.35259312,4.50105767,2.49543329,1.63829125,1.84373301,1.33551794,0.5585084,0.75586134,0.52080141,1.25594506,1.18184987,0.8160106,0.78598009,0.7527977,0.91209499,0.51553986,0.59570907,0.76923534,2.19263008,0.57859103,2.01230062,0.2788655,0.90349923,1.04271938,2.81674967,0.46236418,0.47907565
7.8,0,0,0,34.6,1.210938,4095,0,5.87666087,2.80633353,5.49154962,4.9115354,0.70556149,0.35260127,4.50121315,2.49545897,1.63836354,1.84378398,1.33543623,0.55851873,0.7558649,0.52082414,1.25592205,1.18186787,0.81601134,0.78597282,0.75281498,0.91209946,0.51553866,0.59570737,0.76928585,2.19250723,0.57860257,2.01227129,0.27885899,0.90352642,1.04276703,2.8166713,0.46237535,0.47906259
