Time,,,,Ambient Temp [C],Therm1 [volts],Battery Raw Reading,Flag,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32
0.5,0,0,0,36,1.209717,4095,0,5.75786164,2.75652571,5.4041069,4.81818244,0.7084209,0.34891696,4.44948602,2.49848254,1.62135505,1.83637379,1.33141999,0.559344,0.75552853,0.5184328,1.25653352,1.17723942,0.81333098,0.78785111,0.74386981,0.9257203,0.51493934,0.59689512,0.76361347,2.12827232,0.57736634,1.98410995,0.2780398,0.90843036,1.03280489,2.78741856,0.45858052,0.47858564
1,0,0,0,36,1.212769,4095,0,5.75802773,2.75640131,5.40368163,4.8178494,0.70844938,0.34892932,4.44925637,2.49854652,1.62134159,1.83641663,1.33148663,0.55934172,0.7555347,0.51846031,1.25659996,1.17728274,0.81336722,0.78784263,0.74388487,0.92575928,0.51493974,0.59688704,0.76364829,2.12831597,0.57737702,1.98402313,0.27803896,0.90843587,1.03282928,2.78753307,0.458598,0.47857999
1.6,0,0,0,36,1.211548,4095,0,5.75769042,2.75642326,5.40345337,4.81800526,0.70845903,0.34893409,4.44933651,2.49841199,1.62145403,1.83644268,1.33143487,0.55931752,0.75553161,0.51839164,1.25668099,1.1773078,0.81336253,0.78782008,0.74388205,0.92574417,0.51495195,0.59690022,0.76362205,2.12828907,0.57738268,1.98405919,0.27804681,0.90846629,1.03279893,2.78748861,0.45858974,0.47859968
2.2,0,0,0,36,1.212158,4095,0,5.75808938,2.75621173,5.40335958,4.81829568,0.70847005,0.34892526,4.44909611,2.49839764,1.62152411,1.83645284,1.33143183,0.55934876,0.7555207,0.51842055,1.25659996,1.17726262,0.81336943,0.78785378,0.74388205,0.92569961,0.51494735,0.59689299,0.76362706,2.12828957,0.57736068,1.98401981,0.27803229,0.90845449,1.03280829,2.78766105,0.45859012,0.47859168
2.7,0,0,0,36,1.207886,4095,0,5.75815616,2.75651374,5.40340491,4.81794532,0.7084611,0.34892809,4.44941545,2.49844009,1.6215356,1.8364811,1.33151166,0.5593349,0.75554513,0.51842035,1.25656852,1.17729945,0.81337141,0.78782445,0.7438997,0.92572799,0.51494294,0.59689065,0.76360894,2.12823272,0.57736361,1.98405729,0.27805048,0.90846,1.03279553,2.78783755,0.45860414,0.4786141
3.3,0,0,0,36,1.211548,4095,0,5.75799349,2.75640464,5.40316417,4.81791201,0.7084735,0.34892367,4.44943937,2.498467,1.62139306,1.83647094,1.33149745,0.55934731,0.75551809,0.51845589,1.25657792,1.17727098,0.81335489,0.7878242,0.74393335,0.9257553,0.51495115,0.59690702,0.76365163,2.12828501,0.57735754,1.98419867,0.27802611,0.90845737,1.03276858,2.78783957,0.45863795,0.47860338
3.8,0,0,0,36,1.209717,4095,0,5.75829487,2.75654234,5.40328141,4.81794798,0.70851232,0.34895069,4.44888323,2.49855788,1.62142157,1.83644931,1.33142439,0.55932125,0.75552995,0.51844545,1.25660256,1.177275,0.81336796,0.78783172,0.74390111,0.92571526,0.51493934,0.59689129,0.76363446,2.12832257,0.57735816,1.98412893,0.27803362,0.90845239,1.03275043,2.78809963,0.45862566,0.47860572
4.4,0,0,0,36,1.2146,4095,0,5.75850893,2.75652638,5.40354405,4.81804922,0.70854426,0.34893179,4.44905903,2.49860692,1.62146552,1.83653012,1.33145449,0.55934669,0.75553968,0.51844183,1.25654616,1.17731059,0.81335144,0.78781936,0.74391476,0.92573515,0.51493573,0.59689172,0.76365354,2.12827942,0.57735544,1.9843951,0.27803763,0.9084537,1.03278135,2.78785507,0.45865043,0.47861137
5,0,0,0,36,1.212769,4095,0,5.7581339,2.75641661,5.40365505,4.81803057,0.70850681,0.34896058,4.44937717,2.49846999,1.6214089,1.83667321,1.33147208,0.55932786,0.7555328,0.51842959,1.25660871,1.17727222,0.81336302,0.78783972,0.74390935,0.92574576,0.51494935,0.596883,0.7636657,2.12827384,0.57734978,1.98431729,0.2780398,0.90849435,1.03272746,2.78800059,0.45864006,0.47861001
5.5,0,0,0,36,1.210938,4095,0,5.75819555,2.7563747,5.40388957,4.81808652,0.70851026,0.34893586,4.44911166,2.49846939,1.62141246,1.83657649,1.33142439,0.559344,0.75554751,0.51845468,1.25655362,1.1772224,0.81337289,0.78785935,0.74386158,0.92573409,0.51494274,0.59689193,0.76366594,2.12825861,0.57736676,1.98433484,0.27804297,0.90845868,1.03277369,2.78770147,0.45867963,0.47860572
6.1,0,0,0,36,1.213989,4095,0,5.75877438,2.75669735,5.40354718,4.81774017,0.70853185,0.34894186,4.44912601,2.49860094,1.62148888,1.83650672,1.33147716,0.55932042,0.75551999,0.51845127,1.25661584,1.17725396,0.81336302,0.78787317,0.74389735,0.92574151,0.51494034,0.59688938,0.76366856,2.12833018,0.57736047,1.98416119,0.27803713,0.9084558,1.03278673,2.78763546,0.45868155,0.47860592
6.6,0,0,0,36,1.213379,4095,0,5.75797123,2.7564226,5.40400996,4.81790269,0.7085392,0.34894274,4.44884855,2.4986105,1.62157876,1.83646697,1.33145449,0.55931732,0.75551952,0.51843621,1.25651181,1.17727748,0.81336327,0.78786371,0.74389452,0.92574496,0.51492973,0.59689894,0.76367691,2.12837181,0.57736571,1.98419725,0.2780423,0.90849514,1.03278844,2.78760851,0.45868789,0.47859987
7.2,0,0,0,36,1.210327,4095,0,5.7578137,2.75650775,5.40340804,4.81760697,0.70849395,0.34896129,4.44889758,2.49853755,1.62152649,1.83649435,1.33151978,0.55933324,0.75554276,0.51846613,1.2565225,1.17724499,0.8133899,0.78788117,0.74388323,0.92575716,0.51493333,0.59689087,0.76367762,2.12826673,0.57736194,1.98424042,0.27803195,0.90850144,1.03277085,2.78758763,0.45869903,0.47862639
7.7,0,0,0,36,1.212158,4095,0,5.75834795,2.75649777,5.40436647,4.81753505,0.70849739,0.3489521,4.44928986,2.49834144,1.62158826,1.836497,1.33149001,0.55931876,0.75552995,0.51844906,1.25656755,1.17722797,0.81339261,0.78789498,0.74389099,0.92574019,0.51493693,0.59688959,0.76370863,2.12827587,0.57736969,1.98423852,0.27805132,0.90851376,1.03281113,2.78742597,0.4586948,0.47861781
