"Sensigent +++ PCNose+ Sensor Values +++ Sensor Resistances (in kOhms) for Cyranose 320 unit +++ Serial Number: B191023297 +++ Firmware version: 40.51"
"6/8/2021","4:36 PM","Heater ON: Temperature set at 42.0 degrees celsius","Sensor values are not filtered"
"Time","","","","Ambient Temp [C]","Therm1 [volts]","Battery Raw Reading","Flag","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30","S31","S32"
0.600000, 0, 0, 0, 35.1, 1.213379, 4095.000000, 0, 5.77882686, 2.76612668, 5.41610295, 4.82814418, 0.70998837, 0.35031236, 4.45842693, 2.50341584, 1.62926175, 1.83813518, 1.33400647, 0.55996115, 0.75682272, 0.51944449, 1.25833224, 1.17938025, 0.81484909, 0.79102293, 0.74570603, 0.92903394, 0.51567911, 0.59738797, 0.76531960, 2.13607901, 0.57824901, 1.99287568, 0.27889290, 0.91332924, 1.03901801, 2.80123915, 0.46738918, 0.48001367
1.200000, 0, 0, 0, 35.1, 1.213989, 4095.000000, 0, 5.77877006, 2.76598377, 5.41584258, 4.82794245, 0.71006564, 0.35030529, 4.45761509, 2.50331458, 1.62932735, 1.83817142, 1.33400986, 0.55997232, 0.75682746, 0.51943685, 1.25828909, 1.17939729, 0.81484243, 0.79100958, 0.74569660, 0.92904590, 0.51568853, 0.59740221, 0.76533822, 2.13605812, 0.57823664, 1.99271228, 0.27888589, 0.91329872, 1.03907581, 2.80119310, 0.46737255, 0.48001054
1.700000, 0, 0, 0, 35.1, 1.213989, 4095.000000, 0, 5.77888022, 2.76596306, 5.41548343, 4.82812949, 0.71007806, 0.35030865, 4.45799640, 2.50334094, 1.62923591, 1.83821032, 1.33399326, 0.55996653, 0.75684313, 0.51942319, 1.25829298, 1.17932634, 0.81482417, 0.79102876, 0.74570485, 0.92904882, 0.51567510, 0.59741560, 0.76531029, 2.13592822, 0.57826159, 1.99296429, 0.27888956, 0.91331346, 1.03905446, 2.80134414, 0.46740793, 0.48001874
2.300000, 0, 0, 0, 35.1, 1.210327, 4095.000000, 0, 5.77886817, 2.76613803, 5.41553989, 4.82775276, 0.71007070, 0.35032863, 4.45813670, 2.50337570, 1.62928958, 1.83817805, 1.33395770, 0.55995184, 0.75684669, 0.51943344, 1.25829298, 1.17941433, 0.81484712, 0.79102342, 0.74571404, 0.92909187, 0.51567430, 0.59741964, 0.76532079, 2.13593688, 0.57824251, 1.99280184, 0.27888672, 0.91330556, 1.03905360, 2.80131637, 0.46742089, 0.48000430
2.800000, 0, 0, 0, 35.1, 1.212158, 4095.000000, 0, 5.77879760, 2.76620749, 5.41618138, 4.82722781, 0.71009255, 0.35033199, 4.45836336, 2.50329181, 1.62919537, 1.83810292, 1.33399733, 0.55993549, 0.75685049, 0.51943645, 1.25835462, 1.17940163, 0.81484021, 0.79105475, 0.74569755, 0.92907992, 0.51567991, 0.59739371, 0.76534801, 2.13603571, 0.57824544, 1.99277706, 0.27888672, 0.91333082, 1.03907410, 2.80124931, 0.46743732, 0.48001777
3.400000, 0, 0, 0, 35.1, 1.212158, 4095.000000, 0, 5.77892498, 2.76624890, 5.41645118, 4.82755639, 0.71008772, 0.35031643, 4.45784171, 2.50342782, 1.62918384, 1.83806535, 1.33403933, 0.55993673, 0.75684456, 0.51944127, 1.25835624, 1.17939636, 0.81483478, 0.79101103, 0.74571145, 0.92907912, 0.51567651, 0.59740009, 0.76536258, 2.13595726, 0.57825677, 1.99301051, 0.27888856, 0.91333266, 1.03908293, 2.80132246, 0.46745144, 0.48002479
4.000000, 0, 0, 0, 35.1, 1.211548, 4095.000000, 0, 5.77914359, 2.76652808, 5.41651707, 4.82692864, 0.71007921, 0.35033729, 4.45832619, 2.50353808, 1.62924864, 1.83813651, 1.33397836, 0.55994873, 0.75685595, 0.51943123, 1.25833905, 1.17944501, 0.81485205, 0.79105087, 0.74569755, 0.92911287, 0.51566589, 0.59742474, 0.76535589, 2.13609888, 0.57825739, 1.99287949, 0.27889040, 0.91332477, 1.03910798, 2.80120461, 0.46745008, 0.48001386
4.500000, 0, 0, 0, 35.1, 1.211548, 4095.000000, 0, 5.77856868, 2.76647532, 5.41637589, 4.82736939, 0.71009968, 0.35034507, 4.45808034, 2.50325886, 1.62917867, 1.83820678, 1.33404035, 0.55996322, 0.75684479, 0.51944087, 1.25833840, 1.17941650, 0.81486069, 0.79101832, 0.74570980, 0.92908337, 0.51568612, 0.59741603, 0.76536735, 2.13596032, 0.57824838, 1.99281470, 0.27889441, 0.91332240, 1.03912991, 2.80112266, 0.46746613, 0.48001269
5.100000, 0, 0, 0, 35.1, 1.210938, 4095.000000, 0, 5.77835526, 2.76634507, 5.41606688, 4.82721045, 0.71012612, 0.35035002, 4.45817868, 2.50337150, 1.62923194, 1.83816833, 1.33403459, 0.55993797, 0.75685002, 0.51943685, 1.25837506, 1.17936104, 0.81481874, 0.79102366, 0.74568883, 0.92905919, 0.51568051, 0.59739647, 0.76535828, 2.13597458, 0.57825530, 1.99301718, 0.27889975, 0.91336003, 1.03915012, 2.80104884, 0.46747618, 0.48000937
5.700000, 128, 0, 0, 35.1, 1.208496, 4095.000000, 1, 5.77907301, 2.76656215, 5.41654530, 4.82795047, 0.71016039, 0.35035638, 4.45868719, 2.50340326, 1.62924228, 1.83817363, 1.33399563, 0.55995867, 0.75685904, 0.51944208, 1.25834456, 1.17937808, 0.81486489, 0.79105330, 0.74569189, 0.92911074, 0.51569915, 0.59743367, 0.76545713, 2.13599139, 0.57828969, 1.99323731, 0.27890326, 0.91346790, 1.03921589, 2.80162321, 0.46763300, 0.48002284
