"Sensigent +++ PCNose+ Sensor Values +++ Sensor Resistances (in kOhms) for Cyranose 320 unit +++ Serial Number: B191023297 +++ Firmware version: 40.51"
"7/8/2021","3:57 PM","Heater ON: Temperature set at 42.0 degrees celsius","Sensor values are not filtered"
"Time","","","","Ambient Temp [C]","Therm1 [volts]","Battery Raw Reading","Flag","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30","S31","S32"
0.500000, 0, 0, 0, 35.0, 1.212769, 4095.000000, 0, 5.92161226, 2.82476795, 5.53606329, 4.95627635, 0.70737746, 0.35077070, 4.52594778, 2.48903751, 1.65304283, 1.84833775, 1.33143555, 0.55716414, 0.75450352, 0.52129909, 1.25309209, 1.18543031, 0.81606123, 0.78166318, 0.75611094, 0.90225654, 0.51529505, 0.59540783, 0.77034602, 2.23612252, 0.57870345, 2.03912638, 0.27858119, 0.89726158, 1.05093912, 2.83208770, 0.45458292, 0.47853807
1.100000, 0, 0, 0, 35.0, 1.211548, 4095.000000, 0, 5.92153022, 2.82486777, 5.53519276, 4.95571959, 0.70736506, 0.35076239, 4.52616194, 2.48910182, 1.65290760, 1.84829244, 1.33153568, 0.55715567, 0.75446844, 0.52132404, 1.25312993, 1.18548690, 0.81607679, 0.78172232, 0.75620847, 0.90228685, 0.51530867, 0.59541314, 0.77040519, 2.23617584, 0.57870093, 2.03905675, 0.27857718, 0.89731600, 1.05087402, 2.83268292, 0.45465990, 0.47850181
1.600000, 0, 0, 0, 35.0, 1.209106, 4095.000000, 0, 5.92182627, 2.82491700, 5.53618628, 4.95646057, 0.70738916, 0.35073444, 4.52519160, 2.48912565, 1.65299373, 1.84819916, 1.33143792, 0.55715959, 0.75450518, 0.52130392, 1.25315419, 1.18541756, 0.81605431, 0.78179112, 0.75631051, 0.90220952, 0.51531689, 0.59542099, 0.77038770, 2.23621529, 0.57869884, 2.03910106, 0.27857918, 0.89732668, 1.05082928, 2.83224678, 0.45465626, 0.47850474
2.200000, 0, 0, 0, 35.0, 1.211548, 4095.000000, 0, 5.92186729, 2.82497169, 5.53629309, 4.95623480, 0.70736231, 0.35074559, 4.52598327, 2.48902559, 1.65297119, 1.84814897, 1.33155090, 0.55716269, 0.75450921, 0.52131881, 1.25314869, 1.18543248, 0.81607308, 0.78172474, 0.75623267, 0.90228345, 0.51531368, 0.59541144, 0.77037908, 2.23607827, 0.57868248, 2.03918287, 0.27857952, 0.89727538, 1.05085538, 2.83240861, 0.45459115, 0.47853807
2.700000, 0, 0, 0, 35.0, 1.209717, 4095.000000, 0, 5.92198857, 2.82468591, 5.53575583, 4.95686921, 0.70737746, 0.35076486, 4.52592209, 2.48892138, 1.65309636, 1.84823958, 1.33145821, 0.55716600, 0.75446394, 0.52129668, 1.25306653, 1.18546233, 0.81606962, 0.78172088, 0.75621487, 0.90223094, 0.51530086, 0.59539510, 0.77034578, 2.23617477, 0.57869359, 2.03921598, 0.27857300, 0.89729934, 1.05085337, 2.83258828, 0.45465588, 0.47851702
3.300000, 0, 0, 0, 35.0, 1.212769, 4095.000000, 0, 5.92183519, 2.82458132, 5.53578496, 4.95672653, 0.70740500, 0.35073409, 4.52518304, 2.48904823, 1.65308872, 1.84827956, 1.33159657, 0.55715774, 0.75449120, 0.52128682, 1.25305909, 1.18547228, 0.81607333, 0.78169891, 0.75623125, 0.90225916, 0.51530667, 0.59540592, 0.77035081, 2.23614225, 0.57869108, 2.03906405, 0.27857217, 0.89731757, 1.05083301, 2.83274396, 0.45468729, 0.47851741
3.900000, 0, 0, 0, 35.0, 1.211548, 4095.000000, 0, 5.92184767, 2.82496896, 5.53696800, 4.95629851, 0.70738297, 0.35076274, 4.52652421, 2.48907205, 1.65309194, 1.84830132, 1.33137365, 0.55716971, 0.75448006, 0.52129808, 1.25308691, 1.18548317, 0.81607160, 0.78174043, 0.75628227, 0.90224871, 0.51530567, 0.59541038, 0.77033284, 2.23619876, 0.57867702, 2.03909473, 0.27854344, 0.89730038, 1.05080748, 2.83246210, 0.45466890, 0.47852637
4.400000, 0, 0, 0, 35.0, 1.211548, 4095.000000, 0, 5.92228999, 2.82468386, 5.53701495, 4.95616139, 0.70737172, 0.35077141, 4.52629289, 2.48889696, 1.65309355, 1.84830443, 1.33131885, 0.55717467, 0.75447461, 0.52130151, 1.25310405, 1.18544772, 0.81606296, 0.78176312, 0.75627111, 0.90224583, 0.51530707, 0.59540465, 0.77036231, 2.23618703, 0.57868604, 2.03917216, 0.27855714, 0.89729908, 1.05085107, 2.83260337, 0.45467886, 0.47850532
5.000000, 0, 0, 0, 35.0, 1.212158, 4095.000000, 0, 5.92223292, 2.82498195, 5.53680291, 4.95652290, 0.70736713, 0.35077265, 4.52608117, 2.48930968, 1.65301546, 1.84825868, 1.33137162, 0.55716083, 0.75449238, 0.52131499, 1.25311408, 1.18541072, 0.81607111, 0.78173681, 0.75627942, 0.90224949, 0.51530887, 0.59541823, 0.77037141, 2.23619237, 0.57869464, 2.03909570, 0.27857718, 0.89727929, 1.05087144, 2.83300322, 0.45471391, 0.47851409
5.500000, 0, 0, 0, 35.0, 1.214600, 4095.000000, 0, 5.92179238, 2.82525682, 5.53639828, 4.95659355, 0.70739651, 0.35076451, 4.52561005, 2.48883444, 1.65312414, 1.84827467, 1.33143623, 0.55716579, 0.75447840, 0.52130774, 1.25311311, 1.18543964, 0.81603949, 0.78176529, 0.75630671, 0.90225080, 0.51531288, 0.59542800, 0.77036878, 2.23615824, 0.57868416, 2.03913320, 0.27858503, 0.89728814, 1.05084018, 2.83290308, 0.45471697, 0.47851000
6.100000, 0, 0, 0, 35.0, 1.213379, 4095.000000, 0, 5.92158016, 2.82510092, 5.53567816, 4.95685397, 0.70738411, 0.35076911, 4.52632716, 2.48891245, 1.65305129, 1.84829022, 1.33153601, 0.55717137, 0.75447484, 0.52132404, 1.25310114, 1.18543062, 0.81604098, 0.78176433, 0.75629176, 0.90223146, 0.51530106, 0.59542757, 0.77040232, 2.23625101, 0.57866947, 2.03917410, 0.27858754, 0.89728371, 1.05086140, 2.83263148, 0.45473459, 0.47851838
6.600000, 0, 0, 0, 35.0, 1.210938, 4095.000000, 0, 5.92230426, 2.82509819, 5.53564742, 4.95673622, 0.70738595, 0.35075973, 4.52632716, 2.48894580, 1.65317606, 1.84829244, 1.33145009, 0.55717818, 0.75449452, 0.52133551, 1.25308723, 1.18545114, 0.81603480, 0.78176698, 0.75629271, 0.90226177, 0.51530727, 0.59541675, 0.77034506, 2.23620569, 0.57867640, 2.03941468, 0.27859054, 0.89730533, 1.05081781, 2.83284409, 0.45473842, 0.47851292
7.200000, 0, 0, 0, 35.0, 1.209717, 4095.000000, 0, 5.92250404, 2.82509135, 5.53587072, 4.95670021, 0.70739467, 0.35078060, 4.52612523, 2.48916198, 1.65305893, 1.84828400, 1.33143081, 0.55715299, 0.75450068, 0.52131237, 1.25315678, 1.18542813, 0.81601406, 0.78178702, 0.75631122, 0.90226281, 0.51529325, 0.59541123, 0.77035273, 2.23612892, 0.57867598, 2.03931143, 0.27858386, 0.89730819, 1.05085910, 2.83273299, 0.45474263, 0.47851351
