"Sensigent +++ PCNose+ Sensor Values +++ Sensor Resistances (in kOhms) for Cyranose 320 unit +++ Serial Number: B191023297 +++ Firmware version: 40.51"
"6/14/2021","0:2 PM","Heater ON: Temperature set at 42.0 degrees celsius","Sensor values are not filtered"
"Time","","","","Ambient Temp [C]","Therm1 [volts]","Battery Raw Reading","Flag","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30","S31","S32"
0.500000, 0, 0, 0, 35.7, 1.212158, 4095.000000, 0, 5.81654021, 2.78136248, 5.45981450, 4.85160871, 0.71846875, 0.36083005, 4.47244398, 2.50269394, 1.64173968, 1.84215451, 1.34541622, 0.56027076, 0.75762010, 0.52024521, 1.26028287, 1.18174438, 0.81633564, 0.79435192, 0.74807495, 0.93010848, 0.51603041, 0.59744791, 0.77336758, 2.14642716, 0.57850756, 2.00722442, 0.27914470, 0.91691153, 1.04550366, 2.81069915, 0.51087066, 0.48042201
1.100000, 0, 0, 0, 35.7, 1.212769, 4095.000000, 0, 5.81600160, 2.78105610, 5.46019530, 4.85127249, 0.71846875, 0.36082809, 4.47262705, 2.50266458, 1.64155683, 1.84213768, 1.34544145, 0.56028090, 0.75760419, 0.52022873, 1.26033484, 1.18173104, 0.81631538, 0.79434388, 0.74806787, 0.93005264, 0.51604765, 0.59743877, 0.77340767, 2.14650086, 0.57851218, 2.00735010, 0.27915373, 0.91691706, 1.04548565, 2.81033886, 0.51087146, 0.48043626
1.700000, 0, 0, 0, 35.7, 1.210938, 4095.000000, 0, 5.81571842, 2.78112798, 5.45984306, 4.85200817, 0.71845302, 0.36085038, 4.47226454, 2.50261008, 1.64163845, 1.84200528, 1.34543565, 0.56026455, 0.75763958, 0.52021626, 1.26027767, 1.18177665, 0.81636009, 0.79430907, 0.74808958, 0.93007258, 0.51603642, 0.59745068, 0.77340479, 2.14651366, 0.57850610, 2.00722155, 0.27915891, 0.91683954, 1.04547193, 2.81047685, 0.51087426, 0.48043977
2.200000, 0, 0, 0, 35.7, 1.212158, 4095.000000, 0, 5.81616665, 2.78113403, 5.46007153, 4.85102506, 0.71847198, 0.36085180, 4.47218505, 2.50251304, 1.64166846, 1.84209694, 1.34552055, 0.56024634, 0.75762865, 0.52021566, 1.26025559, 1.18171087, 0.81632329, 0.79432928, 0.74807212, 0.93003934, 0.51603121, 0.59744388, 0.77338967, 2.14642357, 0.57850463, 2.00706662, 0.27915557, 0.91689333, 1.04547221, 2.81016756, 0.51086967, 0.48042416
2.800000, 0, 0, 0, 35.6, 1.212158, 4095.000000, 0, 5.81623094, 2.78122406, 5.45906096, 4.85179162, 0.71847013, 0.36083433, 4.47239581, 2.50263763, 1.64174289, 1.84200970, 1.34549054, 0.56027511, 0.75765122, 0.52022591, 1.26030301, 1.18172018, 0.81634947, 0.79433366, 0.74809714, 0.93006328, 0.51603081, 0.59743792, 0.77340071, 2.14627053, 0.57849079, 2.00717454, 0.27915440, 0.91688542, 1.04544477, 2.81020019, 0.51088204, 0.48044641
3.400000, 0, 0, 0, 35.6, 1.210938, 4095.000000, 0, 5.81612669, 2.78098085, 5.45935760, 4.85233369, 0.71847407, 0.36085287, 4.47199960, 2.50238847, 1.64167006, 1.84205709, 1.34556112, 0.56028628, 0.75763887, 0.52024582, 1.26028254, 1.18174035, 0.81631242, 0.79433415, 0.74809879, 0.93007524, 0.51603181, 0.59745663, 0.77341247, 2.14641078, 0.57849330, 2.00718557, 0.27913769, 0.91688568, 1.04552024, 2.81044150, 0.51089283, 0.48044329
3.900000, 0, 0, 0, 35.6, 1.210327, 4095.000000, 0, 5.81652979, 2.78104199, 5.45948451, 4.85224087, 0.71846458, 0.36085465, 4.47258731, 2.50248130, 1.64177209, 1.84208233, 1.34550384, 0.56027449, 0.75763388, 0.52021365, 1.26033386, 1.18174438, 0.81633613, 0.79435386, 0.74805560, 0.93006992, 0.51602259, 0.59743155, 0.77339855, 2.14646759, 0.57848995, 2.00704887, 0.27915289, 0.91692155, 1.04546164, 2.81058766, 0.51089702, 0.48043568
4.500000, 0, 0, 0, 35.7, 1.210938, 4095.000000, 0, 5.81679738, 2.78111320, 5.45907206, 4.85235387, 0.71843845, 0.36084538, 4.47235486, 2.50257294, 1.64168487, 1.84211864, 1.34553146, 0.56027593, 0.75762129, 0.52020601, 1.26034458, 1.18174314, 0.81636355, 0.79433780, 0.74809596, 0.93005583, 0.51604524, 0.59744983, 0.77341055, 2.14641231, 0.57849519, 2.00720572, 0.27915373, 0.91690625, 1.04547822, 2.81067740, 0.51087845, 0.48043489
5.000000, 0, 0, 0, 35.7, 1.212158, 4095.000000, 0, 5.81651589, 2.78117770, 5.45964157, 4.85242651, 0.71844030, 0.36085394, 4.47253070, 2.50246932, 1.64183612, 1.84215628, 1.34551816, 0.56026848, 0.75762248, 0.52020501, 1.26038681, 1.18178006, 0.81634527, 0.79432879, 0.74808109, 0.93007418, 0.51602420, 0.59744664, 0.77341175, 2.14635191, 0.57849163, 2.00720572, 0.27916125, 0.91688964, 1.04554882, 2.81057406, 0.51089922, 0.48043802
5.600000, 0, 0, 0, 35.7, 1.212158, 4095.000000, 0, 5.81641164, 2.78148746, 5.46010961, 4.85224625, 0.71845325, 0.36086731, 4.47267643, 2.50261906, 1.64173728, 1.84209960, 1.34553521, 0.56027242, 0.75763815, 0.52020320, 1.26032997, 1.18176889, 0.81633811, 0.79434486, 0.74811248, 0.93005503, 0.51602119, 0.59745280, 0.77341319, 2.14643688, 0.57850001, 2.00702537, 0.27916325, 0.91692471, 1.04551395, 2.81057746, 0.51090381, 0.48044212
