"Sensigent +++ PCNose+ Sensor Values +++ Sensor Resistances (in kOhms) for Cyranose 320 unit +++ Serial Number: B191023297 +++ Firmware version: 40.51"
"7/9/2021","3:6 PM","Heater ON: Temperature set at 42.0 degrees celsius","Sensor values are not filtered"
"Time","","","","Ambient Temp [C]","Therm1 [volts]","Battery Raw Reading","Flag","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30","S31","S32"
0.500000, 0, 0, 0, 35.6, 1.210938, 4095.000000, 0, 5.88478206, 2.81319410, 5.50921095, 4.92839829, 0.71200766, 0.35435730, 4.51394851, 2.48961465, 1.63193709, 1.84446531, 1.34192407, 0.55744338, 0.75504048, 0.52107457, 1.25468649, 1.18217074, 0.81608099, 0.78212237, 0.75584996, 0.90314893, 0.51531228, 0.59520386, 0.77331501, 2.20145487, 0.57821294, 2.00269212, 0.27840415, 0.89597417, 1.03554124, 2.80915975, 0.48626086, 0.47800831
1.100000, 0, 0, 0, 35.6, 1.212158, 4095.000000, 0, 5.88468663, 2.81283685, 5.50886705, 4.92803686, 0.71205026, 0.35436901, 4.51406557, 2.48955687, 1.63186941, 1.84441876, 1.34193394, 0.55744792, 0.75503052, 0.52106250, 1.25471854, 1.18211333, 0.81607432, 0.78212648, 0.75586775, 0.90311783, 0.51532230, 0.59520683, 0.77333638, 2.20153833, 0.57820099, 2.00272227, 0.27839780, 0.89598301, 1.03555971, 2.80952668, 0.48627811, 0.47802117
1.600000, 0, 0, 0, 35.6, 1.210327, 4095.000000, 0, 5.88481917, 2.81316075, 5.50874332, 4.92756967, 0.71204565, 0.35435766, 4.51442044, 2.48940319, 1.63195859, 1.84445866, 1.34199076, 0.55744214, 0.75505376, 0.52109207, 1.25467289, 1.18205685, 0.81607703, 0.78212527, 0.75586917, 0.90315573, 0.51531428, 0.59520704, 0.77333134, 2.20164278, 0.57820644, 2.00279981, 0.27839747, 0.89600175, 1.03549948, 2.80978559, 0.48629086, 0.47800168
2.200000, 0, 0, 0, 35.6, 1.211548, 4095.000000, 0, 5.88482624, 2.81307501, 5.50869512, 4.92776891, 0.71206914, 0.35436724, 4.51425946, 2.48960452, 1.63198924, 1.84445511, 1.34202173, 0.55743305, 0.75506016, 0.52108141, 1.25469361, 1.18210153, 0.81608691, 0.78211223, 0.75585897, 0.90314423, 0.51532770, 0.59521065, 0.77335342, 2.20166430, 0.57822343, 2.00257533, 0.27840666, 0.89601606, 1.03554522, 2.80930244, 0.48631007, 0.47799525
2.700000, 0, 0, 0, 35.6, 1.215820, 4095.000000, 0, 5.88500297, 2.81316144, 5.50900364, 4.92775516, 0.71207697, 0.35436990, 4.51418995, 2.48946871, 1.63198128, 1.84443516, 1.34198906, 0.55744338, 0.75505186, 0.52105506, 1.25468552, 1.18216484, 0.81609679, 0.78211682, 0.75588791, 0.90311181, 0.51531929, 0.59520810, 0.77333398, 2.20170735, 0.57821777, 2.00275242, 0.27840949, 0.89601007, 1.03558698, 2.80955522, 0.48632419, 0.47801201
3.300000, 0, 0, 0, 35.6, 1.212158, 4095.000000, 0, 5.88556149, 2.81300288, 5.50893776, 4.92774967, 0.71207720, 0.35436440, 4.51414727, 2.48962239, 1.63194465, 1.84444580, 1.34196116, 0.55743636, 0.75506419, 0.52108986, 1.25471530, 1.18213008, 0.81609827, 0.78213444, 0.75585328, 0.90313325, 0.51532390, 0.59521681, 0.77334238, 2.20168268, 0.57821001, 2.00269451, 0.27840432, 0.89600565, 1.03556056, 2.80956337, 0.48633497, 0.47801259
3.900000, 0, 0, 0, 35.6, 1.210938, 4095.000000, 0, 5.88540772, 2.81317981, 5.50922220, 4.92826223, 0.71207812, 0.35435801, 4.51377902, 2.48956521, 1.63202865, 1.84441565, 1.34194074, 0.55743078, 0.75506300, 0.52108302, 1.25473311, 1.18206243, 0.81609827, 0.78215231, 0.75585280, 0.90314501, 0.51531809, 0.59522063, 0.77336278, 2.20161181, 0.57820540, 2.00274429, 0.27839647, 0.89602178, 1.03552306, 2.80926167, 0.48634517, 0.47799778
4.400000, 0, 0, 0, 35.6, 1.211548, 4095.000000, 0, 5.88448518, 2.81309338, 5.50877064, 4.92818940, 0.71208319, 0.35437167, 4.51431190, 2.48971472, 1.63201193, 1.84449235, 1.34182982, 0.55742995, 0.75507154, 0.52108222, 1.25472728, 1.18205685, 0.81610865, 0.78214579, 0.75585660, 0.90315285, 0.51531008, 0.59519919, 0.77335366, 2.20152101, 0.57821483, 2.00297932, 0.27840732, 0.89600279, 1.03560318, 2.80941524, 0.48637203, 0.47800558
5.100000, 0, 0, 0, 35.6, 1.212158, 4095.000000, 0, 5.88479620, 2.81305051, 5.50956291, 4.92796815, 0.71211082, 0.35438355, 4.51427653, 2.48963967, 1.63196376, 1.84453447, 1.34193938, 0.55742582, 0.75504570, 0.52108423, 1.25472631, 1.18206771, 0.81611778, 0.78214483, 0.75586751, 0.90312671, 0.51531348, 0.59520386, 0.77334718, 2.20165853, 0.57821902, 2.00303916, 0.27840515, 0.89597859, 1.03557335, 2.80952124, 0.48639223, 0.47801649
5.600000, 0, 0, 0, 35.6, 1.212158, 4095.000000, 0, 5.88524334, 2.81304371, 5.50849748, 4.92835431, 0.71211198, 0.35437947, 4.51391436, 2.48977132, 1.63213973, 1.84453891, 1.34194278, 0.55741921, 0.75502981, 0.52106874, 1.25472923, 1.18204878, 0.81610642, 0.78211513, 0.75587487, 0.90314893, 0.51531769, 0.59520683, 0.77335774, 2.20149896, 0.57822322, 2.00276343, 0.27840382, 0.89598587, 1.03553187, 2.80961978, 0.48639360, 0.47800071
