"Sensigent +++ PCNose+ Sensor Values +++ Sensor Resistances (in kOhms) for Cyranose 320 unit +++ Serial Number: B191023297 +++ Firmware version: 40.51"
"7/8/2021","4:11 PM","Heater ON: Temperature set at 42.0 degrees celsius","Sensor values are not filtered"
"Time","","","","Ambient Temp [C]","Therm1 [volts]","Battery Raw Reading","Flag","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30","S31","S32"
0.500000, 0, 0, 0, 35.8, 1.215210, 4095.000000, 0, 5.90345362, 2.81879976, 5.52240014, 4.94285103, 0.70828353, 0.35124424, 4.52002037, 2.48851230, 1.64491012, 1.84680138, 1.33858786, 0.55687587, 0.75420490, 0.52092572, 1.25315548, 1.18365297, 0.81549701, 0.78040585, 0.75534306, 0.90198880, 0.51507973, 0.59528005, 0.77165317, 2.22486640, 0.57830311, 2.02479177, 0.27823966, 0.89527130, 1.04473807, 2.82380416, 0.44853029, 0.47789509
1.100000, 0, 0, 0, 35.8, 1.212158, 4095.000000, 0, 5.90329206, 2.81874997, 5.52272911, 4.94266475, 0.70829180, 0.35123964, 4.52011931, 2.48838013, 1.64484600, 1.84678496, 1.33859737, 0.55690787, 0.75421983, 0.52091948, 1.25317004, 1.18373093, 0.81550392, 0.78038221, 0.75531721, 0.90197339, 0.51507312, 0.59528005, 0.77163303, 2.22494810, 0.57828906, 2.02491414, 0.27824834, 0.89528613, 1.04470179, 2.82382261, 0.44855870, 0.47788554
1.700000, 0, 0, 0, 35.8, 1.212769, 4095.000000, 0, 5.90290506, 2.81903235, 5.52285329, 4.94275030, 0.70827205, 0.35124053, 4.52029279, 2.48836644, 1.64490451, 1.84678362, 1.33869994, 0.55689383, 0.75423287, 0.52093799, 1.25312993, 1.18372565, 0.81548244, 0.78039306, 0.75533832, 0.90198436, 0.51506791, 0.59529491, 0.77162440, 2.22494969, 0.57830772, 2.02498573, 0.27824718, 0.89529731, 1.04473778, 2.82379801, 0.44857280, 0.47790347
2.200000, 0, 0, 0, 35.8, 1.210327, 4095.000000, 0, 5.90222877, 2.81905213, 5.52283233, 4.94292693, 0.70830972, 0.35123893, 4.52010466, 2.48862127, 1.64483919, 1.84683289, 1.33870028, 0.55689321, 0.75420324, 0.52090761, 1.25316842, 1.18372068, 0.81548886, 0.78038583, 0.75533761, 0.90196398, 0.51506591, 0.59529640, 0.77163255, 2.22511149, 0.57830206, 2.02491318, 0.27825369, 0.89528015, 1.04475635, 2.82421287, 0.44860712, 0.47789002
2.800000, 0, 0, 0, 35.8, 1.212158, 4095.000000, 0, 5.90259619, 2.81880317, 5.52232918, 4.94260956, 0.70832787, 0.35125185, 4.52009610, 2.48821105, 1.64480793, 1.84684088, 1.33868466, 0.55689838, 0.75419614, 0.52093276, 1.25311311, 1.18369304, 0.81548935, 0.78038945, 0.75533286, 0.90195876, 0.51506070, 0.59528387, 0.77165006, 2.22505526, 0.57829430, 2.02504088, 0.27825452, 0.89530277, 1.04474664, 2.82405840, 0.44862732, 0.47788398
3.400000, 0, 0, 0, 35.8, 1.212158, 4095.000000, 0, 5.90284825, 2.81881885, 5.52270331, 4.94243847, 0.70832511, 0.35125875, 4.51989455, 2.48840633, 1.64481314, 1.84681070, 1.33863779, 0.55690622, 0.75420727, 0.52091868, 1.25313802, 1.18378126, 0.81546985, 0.78040343, 0.75533879, 0.90195197, 0.51506170, 0.59528621, 0.77165749, 2.22495711, 0.57828675, 2.02514972, 0.27824701, 0.89529211, 1.04474893, 2.82402081, 0.44863037, 0.47791087
3.900000, 0, 0, 0, 35.8, 1.210938, 4095.000000, 0, 5.90286600, 2.81875406, 5.52218245, 4.94211424, 0.70832809, 0.35126123, 4.52003136, 2.48825451, 1.64491373, 1.84686041, 1.33865171, 0.55688970, 0.75420870, 0.52092230, 1.25311764, 1.18377101, 0.81547750, 0.78041019, 0.75532931, 0.90196111, 0.51507713, 0.59528345, 0.77166181, 2.22503191, 0.57829556, 2.02508538, 0.27825586, 0.89526506, 1.04475264, 2.82399279, 0.44866640, 0.47789158
4.400000, 0, 0, 0, 35.8, 1.210327, 4095.000000, 0, 5.90322105, 2.81882908, 5.52235176, 4.94206734, 0.70831431, 0.35125574, 4.52005579, 2.48826106, 1.64475743, 1.84680981, 1.33863643, 0.55689425, 0.75418358, 0.52092813, 1.25313640, 1.18375920, 0.81547158, 0.78042104, 0.75535658, 0.90195902, 0.51506451, 0.59528769, 0.77168554, 2.22492316, 0.57829786, 2.02497654, 0.27826337, 0.89529393, 1.04474836, 2.82387250, 0.44868909, 0.47789178
5.000000, 0, 0, 0, 35.8, 1.212158, 4095.000000, 0, 5.90302577, 2.81907191, 5.52279523, 4.94264819, 0.70833085, 0.35125256, 4.52022682, 2.48828249, 1.64482075, 1.84677164, 1.33863575, 0.55689569, 0.75418713, 0.52093255, 1.25321468, 1.18374584, 0.81548639, 0.78039885, 0.75533358, 0.90197730, 0.51506130, 0.59528303, 0.77168075, 2.22492316, 0.57829828, 2.02495042, 0.27824918, 0.89528691, 1.04475350, 2.82411787, 0.44870682, 0.47788340
5.600000, 0, 0, 0, 35.8, 1.212769, 4095.000000, 0, 5.90316246, 2.81922607, 5.52284684, 4.94219702, 0.70834050, 0.35126016, 4.52015596, 2.48827832, 1.64479590, 1.84681825, 1.33863507, 0.55688991, 0.75421012, 0.52092129, 1.25319883, 1.18377163, 0.81548269, 0.78041212, 0.75533571, 0.90203451, 0.51506952, 0.59526605, 0.77166133, 2.22499213, 0.57829702, 2.02482514, 0.27825001, 0.89531604, 1.04471750, 2.82422723, 0.44872265, 0.47790152
