"Sensigent +++ PCNose+ Sensor Values +++ Sensor Resistances (in kOhms) for Cyranose 320 unit +++ Serial Number: B191023297 +++ Firmware version: 40.51"
"6/30/2021","2:56 PM","Heater ON: Temperature set at 42.0 degrees celsius","Sensor values are not filtered"
"Time","","","","Ambient Temp [C]","Therm1 [volts]","Battery Raw Reading","Flag","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30","S31","S32"
0.500000, 0, 0, 0, 35.2, 1.213989, 4095.000000, 0, 5.89265929, 2.81266606, 5.51009654, 4.92207787, 0.71258508, 0.35486216, 4.50873729, 2.49487800, 1.64678232, 1.84589476, 1.34258532, 0.55868495, 0.75620870, 0.52107356, 1.25703562, 1.18340449, 0.81665580, 0.78695140, 0.75351475, 0.91249780, 0.51560097, 0.59591290, 0.77373779, 2.20397936, 0.57870639, 2.02432991, 0.27891512, 0.90403399, 1.04771099, 2.82738435, 0.48140726, 0.47894285
1.100000, 0, 0, 0, 35.3, 1.210327, 4095.000000, 0, 5.89299927, 2.81263273, 5.50966738, 4.92180762, 0.71255398, 0.35486784, 4.50822599, 2.49503323, 1.64670850, 1.84588012, 1.34259928, 0.55868970, 0.75620396, 0.52104661, 1.25700937, 1.18341381, 0.81661751, 0.78693541, 0.75350717, 0.91249990, 0.51560417, 0.59592586, 0.77373899, 2.20400984, 0.57872275, 2.02419839, 0.27891847, 0.90405595, 1.04765889, 2.82758967, 0.48140394, 0.47893290
1.700000, 0, 0, 0, 35.3, 1.213379, 4095.000000, 0, 5.89271241, 2.81251162, 5.50912417, 4.92209571, 0.71255605, 0.35487653, 4.50824668, 2.49499442, 1.64681201, 1.84587834, 1.34266327, 0.55868350, 0.75619233, 0.52104943, 1.25704859, 1.18341288, 0.81663183, 0.78696908, 0.75349936, 0.91249911, 0.51560197, 0.59589273, 0.77373563, 2.20387480, 0.57872296, 2.02442905, 0.27891095, 0.90402352, 1.04763857, 2.82755340, 0.48140336, 0.47894538
2.300000, 0, 0, 0, 35.2, 1.212158, 4095.000000, 0, 5.89250170, 2.81236399, 5.50939416, 4.92201751, 0.71256204, 0.35486393, 4.50830024, 2.49468696, 1.64674300, 1.84587701, 1.34258907, 0.55868308, 0.75620111, 0.52104078, 1.25698764, 1.18343307, 0.81662492, 0.78695721, 0.75349557, 0.91247019, 0.51559115, 0.59591269, 0.77371666, 2.20385220, 0.57870492, 2.02424771, 0.27891362, 0.90404863, 1.04771499, 2.82748564, 0.48141488, 0.47895201
2.800000, 0, 0, 0, 35.2, 1.211548, 4095.000000, 0, 5.89232110, 2.81241705, 5.50927041, 4.92218488, 0.71254315, 0.35487955, 4.50855224, 2.49491024, 1.64693558, 1.84586015, 1.34252167, 0.55869135, 0.75619660, 0.52104842, 1.25702039, 1.18345232, 0.81663875, 0.78694365, 0.75350528, 0.91249464, 0.51559476, 0.59591205, 0.77374115, 2.20388163, 0.57871415, 2.02432169, 0.27890326, 0.90402405, 1.04769210, 2.82745279, 0.48144849, 0.47894207
3.400000, 0, 0, 0, 35.2, 1.212158, 4095.000000, 0, 5.89321355, 2.81249393, 5.50976382, 4.92154288, 0.71256665, 0.35489161, 4.50854980, 2.49479860, 1.64680398, 1.84587745, 1.34264727, 0.55869549, 0.75620586, 0.52106874, 1.25695587, 1.18334735, 0.81664468, 0.78696012, 0.75351760, 0.91252041, 0.51559616, 0.59590887, 0.77375195, 2.20398094, 0.57872548, 2.02422885, 0.27891278, 0.90405831, 1.04771070, 2.82750001, 0.48143872, 0.47894226
4.000000, 0, 0, 0, 35.2, 1.212158, 4095.000000, 0, 5.89272303, 2.81238236, 5.51042126, 4.92218626, 0.71253762, 0.35487476, 4.50858876, 2.49494188, 1.64681883, 1.84586237, 1.34267757, 0.55869425, 0.75621013, 0.52104238, 1.25699834, 1.18344829, 0.81663134, 0.78691434, 0.75351712, 0.91246546, 0.51560057, 0.59587659, 0.77374547, 2.20384222, 0.57871709, 2.02421531, 0.27890911, 0.90400966, 1.04771585, 2.82761089, 0.48144282, 0.47893992
4.500000, 0, 0, 0, 35.2, 1.214600, 4095.000000, 0, 5.89296740, 2.81240413, 5.50962560, 4.92172120, 0.71259429, 0.35489800, 4.50875799, 2.49505472, 1.64672335, 1.84582732, 1.34269595, 0.55870107, 0.75618996, 0.52106049, 1.25700872, 1.18343866, 0.81662195, 0.78695964, 0.75350623, 0.91251174, 0.51559836, 0.59590759, 0.77372794, 2.20393680, 0.57871520, 2.02432073, 0.27891312, 0.90405177, 1.04771843, 2.82772588, 0.48146822, 0.47895845
5.100000, 0, 0, 0, 35.3, 1.212158, 4095.000000, 0, 5.89262564, 2.81233474, 5.50997920, 4.92129735, 0.71259360, 0.35489126, 4.50810426, 2.49499561, 1.64675344, 1.84583220, 1.34266429, 0.55869673, 0.75617382, 0.52104983, 1.25701488, 1.18345698, 0.81662393, 0.78694752, 0.75350575, 0.91252331, 0.51559836, 0.59592947, 0.77375195, 2.20398672, 0.57872778, 2.02441647, 0.27890593, 0.90402352, 1.04773617, 2.82754861, 0.48148287, 0.47894148
5.600000, 0, 0, 0, 35.3, 1.211548, 4095.000000, 0, 5.89271418, 2.81229528, 5.50963202, 4.92126855, 0.71258300, 0.35490829, 4.50850476, 2.49507920, 1.64672776, 1.84586592, 1.34258532, 0.55869508, 0.75620064, 0.52104359, 1.25701163, 1.18344083, 0.81663183, 0.78697998, 0.75351002, 0.91249622, 0.51560237, 0.59593074, 0.77375291, 2.20396886, 0.57872002, 2.02431686, 0.27891245, 0.90404785, 1.04770898, 2.82743636, 0.48149655, 0.47895279
6.200000, 0, 0, 0, 35.3, 1.210327, 4095.000000, 0, 5.89251409, 2.81237351, 5.51017531, 4.92156894, 0.71257056, 0.35489534, 4.50845363, 2.49515443, 1.64672214, 1.84590762, 1.34263162, 0.55869239, 0.75621274, 0.52105305, 1.25700418, 1.18345357, 0.81661627, 0.78695842, 0.75351167, 0.91244731, 0.51560658, 0.59592649, 0.77377116, 2.20396045, 0.57870681, 2.02437150, 0.27892532, 0.90405491, 1.04775621, 2.82772725, 0.48149421, 0.47894714
6.700000, 0, 0, 0, 35.3, 1.212769, 4095.000000, 0, 5.89186610, 2.81239665, 5.50948738, 4.92137416, 0.71258899, 0.35490403, 4.50838667, 2.49499920, 1.64669406, 1.84595332, 1.34262106, 0.55868681, 0.75619708, 0.52104621, 1.25699024, 1.18341567, 0.81665333, 0.78695213, 0.75348325, 0.91251884, 0.51559856, 0.59591375, 0.77376060, 2.20395835, 0.57871142, 2.02432943, 0.27891897, 0.90408394, 1.04777453, 2.82768892, 0.48151316, 0.47894460
7.300000, 0, 0, 0, 35.2, 1.213379, 4095.000000, 0, 5.89211218, 2.81235855, 5.50920452, 4.92173080, 0.71258669, 0.35489960, 4.50830389, 2.49488815, 1.64682805, 1.84589121, 1.34258702, 0.55870769, 0.75621203, 0.52104379, 1.25697630, 1.18335698, 0.81663925, 0.78700930, 0.75351025, 0.91251936, 0.51559015, 0.59589316, 0.77377044, 2.20400721, 0.57871268, 2.02441406, 0.27891963, 0.90405360, 1.04773875, 2.82747743, 0.48153680, 0.47894441
7.800000, 0, 0, 0, 35.2, 1.211548, 4095.000000, 0, 5.89241494, 2.81233814, 5.50953881, 4.92159912, 0.71262332, 0.35491308, 4.50811765, 2.49503980, 1.64680077, 1.84598970, 1.34262753, 0.55869818, 0.75620253, 0.52104419, 1.25701682, 1.18343369, 0.81665284, 0.78699985, 0.75348467, 0.91250227, 0.51560678, 0.59591672, 0.77376252, 2.20394416, 0.57873009, 2.02427140, 0.27891897, 0.90409362, 1.04768666, 2.82764922, 0.48157646, 0.47894733
8.400000, 0, 0, 0, 35.2, 1.210327, 4095.000000, 0, 5.89273012, 2.81256741, 5.50955970, 4.92161421, 0.71262055, 0.35488877, 4.50844024, 2.49488218, 1.64684170, 1.84590185, 1.34259519, 0.55870086, 0.75620965, 0.52104822, 1.25700029, 1.18339704, 0.81663208, 0.78701826, 0.75349391, 0.91249096, 0.51559836, 0.59593095, 0.77376468, 2.20405188, 0.57871121, 2.02418001, 0.27892131, 0.90412945, 1.04769782, 2.82768892, 0.48155087, 0.47893583
9.000000, 128, 0, 0, 35.2, 1.213379, 4095.000000, 1, 5.89262564, 2.81274567, 5.50943755, 4.92117117, 0.71259544, 0.35490208, 4.50847189, 2.49508040, 1.64678272, 1.84599015, 1.34264217, 0.55866634, 0.75620633, 0.52103776, 1.25701099, 1.18340977, 0.81663381, 0.78697829, 0.75349533, 0.91249359, 0.51560858, 0.59592734, 0.77377020, 2.20400196, 0.57872527, 2.02410362, 0.27891696, 0.90410329, 1.04771328, 2.82739667, 0.48157763, 0.47894987
