"Sensigent +++ PCNose+ Sensor Values +++ Sensor Resistances (in kOhms) for Cyranose 320 unit +++ Serial Number: B191023297 +++ Firmware version: 40.51"
"6/26/2021","0:42 PM","Heater ON: Temperature set at 42.0 degrees celsius","Sensor values are not filtered"
"Time","","","","Ambient Temp [C]","Therm1 [volts]","Battery Raw Reading","Flag","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30","S31","S32"
0.600000, 0, 0, 0, 35.2, 1.211548, 4095.000000, 0, 5.79423279, 2.77285153, 5.43094027, 4.85326469, 0.70327479, 0.34370384, 4.46927319, 2.49334656, 1.60955076, 1.83720769, 1.32498257, 0.55809419, 0.75445043, 0.51895151, 1.25462109, 1.17608652, 0.81361229, 0.78102172, 0.74805678, 0.91019596, 0.51474730, 0.59549125, 0.76120079, 2.14385352, 0.57704556, 1.97145407, 0.27754354, 0.89718138, 1.02284156, 2.77582049, 0.44984318, 0.47755316
1.100000, 0, 0, 0, 35.2, 1.212158, 4095.000000, 0, 5.79501735, 2.77321986, 5.43118907, 4.85334811, 0.70330844, 0.34370384, 4.46926236, 2.49340742, 1.60940322, 1.83711845, 1.32496673, 0.55807250, 0.75445873, 0.51896777, 1.25463534, 1.17611713, 0.81357012, 0.78100048, 0.74804404, 0.91018178, 0.51474389, 0.59549147, 0.76119293, 2.14399975, 0.57704535, 1.97138381, 0.27755806, 0.89719361, 1.02281196, 2.77577222, 0.44981208, 0.47755433
1.700000, 0, 0, 0, 35.2, 1.212769, 4095.000000, 0, 5.79484280, 2.77321048, 5.43144103, 4.85312879, 0.70331668, 0.34370173, 4.46921062, 2.49347185, 1.60950001, 1.83716395, 1.32502975, 0.55811011, 0.75447224, 0.51897018, 1.25464505, 1.17612888, 0.81360267, 0.78101641, 0.74805513, 0.91023009, 0.51473729, 0.59550739, 0.76121651, 2.14389442, 0.57704954, 1.97144652, 0.27753669, 0.89721054, 1.02277983, 2.77591167, 0.44985157, 0.47755920
2.300000, 0, 0, 0, 35.2, 1.207886, 4095.000000, 0, 5.79487736, 2.77336788, 5.43102372, 4.85271978, 0.70334827, 0.34371404, 4.46863193, 2.49330301, 1.60951889, 1.83717146, 1.32494617, 0.55811631, 0.75446844, 0.51896034, 1.25462789, 1.17609116, 0.81359527, 0.78099783, 0.74804191, 0.91026134, 0.51474630, 0.59549911, 0.76120770, 2.14400997, 0.57704200, 1.97156395, 0.27754404, 0.89722278, 1.02276630, 2.77600017, 0.44987371, 0.47755784
2.800000, 0, 0, 0, 35.2, 1.212158, 4095.000000, 0, 5.79490674, 2.77332367, 5.43085681, 4.85287853, 0.70333705, 0.34370173, 4.46890743, 2.49339787, 1.60955313, 1.83720857, 1.32500919, 0.55809378, 0.75449144, 0.51897922, 1.25464246, 1.17612393, 0.81357801, 0.78101930, 0.74804593, 0.91024322, 0.51474169, 0.59551524, 0.76121103, 2.14402633, 0.57704849, 1.97165591, 0.27754454, 0.89718893, 1.02277335, 2.77578093, 0.44987600, 0.47755258
3.400000, 0, 0, 0, 35.2, 1.211548, 4095.000000, 0, 5.79499488, 2.77327880, 5.43101428, 4.85320414, 0.70333934, 0.34369962, 4.46934177, 2.49337937, 1.60946224, 1.83713170, 1.32501155, 0.55808407, 0.75446489, 0.51897059, 1.25462044, 1.17604323, 0.81357801, 0.78102123, 0.74807495, 0.91021617, 0.51474089, 0.59549444, 0.76120365, 2.14396447, 0.57706672, 1.97154886, 0.27754771, 0.89719075, 1.02284410, 2.77593916, 0.44988096, 0.47755725
3.900000, 0, 0, 0, 35.2, 1.213379, 4095.000000, 0, 5.79533018, 2.77303703, 5.43063480, 4.85323105, 0.70334735, 0.34372266, 4.46937667, 2.49335133, 1.60948348, 1.83712287, 1.32498863, 0.55808923, 0.75448148, 0.51895693, 1.25466253, 1.17610971, 0.81357111, 0.78104633, 0.74808368, 0.91025530, 0.51473749, 0.59549062, 0.76122246, 2.14406928, 0.57705855, 1.97155404, 0.27755138, 0.89719700, 1.02285565, 2.77536195, 0.44990214, 0.47755881
4.500000, 0, 0, 0, 35.2, 1.210938, 4095.000000, 0, 5.79474948, 2.77332233, 5.43121269, 4.85309380, 0.70338375, 0.34371791, 4.46937306, 2.49325349, 1.60958460, 1.83712464, 1.32502604, 0.55811011, 0.75446560, 0.51897119, 1.25464246, 1.17608373, 0.81359503, 0.78102823, 0.74806787, 0.91017600, 0.51474650, 0.59547937, 0.76121293, 2.14406264, 0.57703697, 1.97155357, 0.27754671, 0.89720195, 1.02286439, 2.77562204, 0.44989642, 0.47756446
5.100000, 0, 0, 0, 35.2, 1.212158, 4095.000000, 0, 5.79454556, 2.77332568, 5.43060331, 4.85301846, 0.70338077, 0.34371949, 4.46942961, 2.49331852, 1.60951102, 1.83714717, 1.32503379, 0.55810639, 0.75446323, 0.51894910, 1.25466512, 1.17608250, 0.81360341, 0.78103643, 0.74803932, 0.91024532, 0.51474349, 0.59548743, 0.76119960, 2.14402327, 0.57705939, 1.97157998, 0.27754571, 0.89722017, 1.02286580, 2.77539814, 0.44990443, 0.47756972
5.600000, 0, 0, 0, 35.2, 1.210938, 4095.000000, 0, 5.79473392, 2.77347169, 5.43063007, 4.85288257, 0.70338352, 0.34372547, 4.46938148, 2.49333105, 1.60945476, 1.83714275, 1.32499874, 0.55809109, 0.75443052, 0.51894367, 1.25464084, 1.17612703, 0.81359922, 0.78105332, 0.74806716, 0.91024611, 0.51474890, 0.59549699, 0.76120579, 2.14409434, 0.57704870, 1.97156206, 0.27755455, 0.89723866, 1.02285735, 2.77545981, 0.44991817, 0.47755414
6.100000, 0, 0, 0, 35.2, 1.212158, 4095.000000, 0, 5.79458530, 2.77354136, 5.43035769, 4.85307900, 0.70338833, 0.34372195, 4.46939351, 2.49326661, 1.60950984, 1.83707207, 1.32500649, 0.55810411, 0.75445209, 0.51894668, 1.25467613, 1.17603426, 0.81360218, 0.78103064, 0.74807660, 0.91027657, 0.51475110, 0.59551185, 0.76123079, 2.14416746, 0.57707070, 1.97163327, 0.27756273, 0.89727408, 1.02287426, 2.77575277, 0.44993000, 0.47756349
6.700000, 0, 0, 0, 35.2, 1.211548, 4095.000000, 0, 5.79469417, 2.77362174, 5.43057497, 4.85279512, 0.70339359, 0.34373444, 4.46923348, 2.49328570, 1.60947522, 1.83714186, 1.32500312, 0.55809213, 0.75442436, 0.51896536, 1.25467322, 1.17615208, 0.81357579, 0.78100941, 0.74806103, 0.91025687, 0.51473609, 0.59549847, 0.76124008, 2.14414956, 0.57704975, 1.97156395, 0.27754487, 0.89725272, 1.02289540, 2.77557981, 0.44994736, 0.47756758
7.300000, 0, 0, 0, 35.1, 1.212769, 4095.000000, 0, 5.79462159, 2.77338730, 5.43129615, 4.85287719, 0.70342999, 0.34372916, 4.46923108, 2.49347543, 1.60964008, 1.83720371, 1.32506143, 0.55808469, 0.75444498, 0.51895351, 1.25460491, 1.17611497, 0.81359823, 0.78104874, 0.74808793, 0.91029232, 0.51475030, 0.59551545, 0.76122270, 2.14418740, 0.57705583, 1.97155782, 0.27754888, 0.89721523, 1.02291288, 2.77536396, 0.44998992, 0.47755608
7.800000, 0, 0, 0, 35.1, 1.212158, 4095.000000, 0, 5.79477021, 2.77348509, 5.43088043, 4.85281530, 0.70344808, 0.34372371, 4.46872697, 2.49329406, 1.60949214, 1.83723331, 1.32503413, 0.55809357, 0.75446607, 0.51894287, 1.25465670, 1.17611126, 0.81358837, 0.78102702, 0.74806245, 0.91030178, 0.51473508, 0.59551078, 0.76122603, 2.14416592, 0.57704389, 1.97178514, 0.27754988, 0.89721366, 1.02288469, 2.77542697, 0.44998248, 0.47756621
8.400000, 0, 0, 0, 35.2, 1.213989, 4095.000000, 0, 5.79505019, 2.77352796, 5.43065054, 4.85273323, 0.70346456, 0.34373356, 4.46869930, 2.49344739, 1.60951850, 1.83720327, 1.32512210, 0.55811631, 0.75446892, 0.51892379, 1.25463210, 1.17606023, 0.81355656, 0.78104488, 0.74808652, 0.91026265, 0.51472467, 0.59551482, 0.76123508, 2.14406826, 0.57705436, 1.97186154, 0.27754921, 0.89726054, 1.02285086, 2.77538809, 0.44997370, 0.47755901
8.900000, 0, 0, 0, 35.2, 1.215210, 4095.000000, 0, 5.79554105, 2.77343686, 5.43118277, 4.85277629, 0.70345289, 0.34375273, 4.46907948, 2.49354763, 1.60974633, 1.83718648, 1.32516693, 0.55811238, 0.75443597, 0.51895452, 1.25459390, 1.17611528, 0.81358097, 0.78104126, 0.74809194, 0.91027631, 0.51474389, 0.59552119, 0.76123841, 2.14419660, 0.57706609, 1.97157291, 0.27755889, 0.89727121, 1.02286552, 2.77560394, 0.44998954, 0.47757732
9.500000, 0, 0, 0, 35.2, 1.215820, 4095.000000, 0, 5.79500352, 2.77343352, 5.43096546, 4.85297944, 0.70347257, 0.34374675, 4.46898443, 2.49335670, 1.60965031, 1.83711933, 1.32517232, 0.55810225, 0.75444190, 0.51893966, 1.25463793, 1.17609487, 0.81359453, 0.78105743, 0.74807141, 0.91032804, 0.51474109, 0.59551206, 0.76123817, 2.14414956, 0.57706211, 1.97174976, 0.27755622, 0.89722408, 1.02289004, 2.77552551, 0.44998820, 0.47757498
10.100000, 0, 0, 0, 35.2, 1.213989, 4095.000000, 0, 5.79532672, 2.77349179, 5.43132450, 4.85285297, 0.70347967, 0.34375045, 4.46871013, 2.49318070, 1.60954289, 1.83721962, 1.32513120, 0.55809709, 0.75447816, 0.51895371, 1.25459778, 1.17611775, 0.81358196, 0.78104126, 0.74808510, 0.91030204, 0.51474690, 0.59552267, 0.76125865, 2.14415774, 0.57706442, 1.97162526, 0.27756223, 0.89724387, 1.02288892, 2.77573668, 0.45002789, 0.47758005
10.600000, 0, 0, 0, 35.2, 1.210327, 4095.000000, 0, 5.79541487, 2.77327411, 5.43127568, 4.85310726, 0.70345563, 0.34373163, 4.46853088, 2.49310792, 1.60951811, 1.83720769, 1.32502806, 0.55810577, 0.75446892, 0.51894568, 1.25466706, 1.17615362, 0.81360415, 0.78106635, 0.74807896, 0.91034826, 0.51474169, 0.59552904, 0.76128056, 2.14414496, 0.57706127, 1.97158045, 0.27755572, 0.89725325, 1.02286862, 2.77564216, 0.45001778, 0.47758628
11.200000, 0, 0, 0, 35.1, 1.212158, 4095.000000, 0, 5.79497933, 2.77303435, 5.43163790, 4.85306151, 0.70348379, 0.34375309, 4.46850081, 2.49310911, 1.60959287, 1.83721785, 1.32515378, 0.55810370, 0.75445588, 0.51895151, 1.25463404, 1.17614867, 0.81360316, 0.78107432, 0.74808062, 0.91030335, 0.51474550, 0.59553265, 0.76129508, 2.14424876, 0.57706588, 1.97174410, 0.27756139, 0.89727512, 1.02289089, 2.77554830, 0.45002866, 0.47759154
