"Sensigent +++ PCNose+ Sensor Values +++ Sensor Resistances (in kOhms) for Cyranose 320 unit +++ Serial Number: B191023297 +++ Firmware version: 40.51"
"6/10/2021","3:30 PM","Heater ON: Temperature set at 42.0 degrees celsius","Sensor values are not filtered"
"Time","","","","Ambient Temp [C]","Therm1 [volts]","Battery Raw Reading","Flag","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30","S31","S32"
0.600000, 0, 0, 0, 35.5, 1.212158, 4095.000000, 0, 5.80007401, 2.77355944, 5.44667966, 4.84469589, 0.71710196, 0.35461538, 4.46208686, 2.49944481, 1.64151682, 1.84060025, 1.33926860, 0.56036349, 0.75681441, 0.51955319, 1.25894131, 1.18089198, 0.81532593, 0.79232106, 0.74629496, 0.92883490, 0.51556811, 0.59736459, 0.77001761, 2.14581097, 0.57812719, 2.01246411, 0.27853342, 0.91372131, 1.04433385, 2.80790990, 0.48672876, 0.47981481
1.100000, 0, 0, 0, 35.5, 1.212769, 4095.000000, 0, 5.80066068, 2.77349581, 5.44646938, 4.84437644, 0.71707030, 0.35461893, 4.46212888, 2.49965059, 1.64150122, 1.84058034, 1.33932636, 0.56035666, 0.75680111, 0.51957650, 1.25893774, 1.18092051, 0.81536222, 0.79232495, 0.74633668, 0.92882826, 0.51556631, 0.59737330, 0.77003701, 2.14582888, 0.57813474, 2.01244055, 0.27854478, 0.91374631, 1.04429814, 2.80766747, 0.48674151, 0.47980818
1.700000, 0, 0, 0, 35.5, 1.211548, 4095.000000, 0, 5.80077318, 2.77361906, 5.44671445, 4.84450529, 0.71710381, 0.35461822, 4.46173509, 2.49948489, 1.64139840, 1.84065955, 1.33928287, 0.56036556, 0.75680610, 0.51956043, 1.25894455, 1.18090377, 0.81536222, 0.79232155, 0.74631122, 0.92882693, 0.51557212, 0.59735247, 0.77003151, 2.14585497, 0.57812300, 2.01254682, 0.27854244, 0.91372710, 1.04432756, 2.80784403, 0.48677368, 0.47979744
2.300000, 0, 0, 0, 35.5, 1.213379, 4095.000000, 0, 5.80109338, 2.77379925, 5.44638084, 4.84495630, 0.71709064, 0.35462195, 4.46147939, 2.49938021, 1.64144281, 1.84065202, 1.33937732, 0.56034838, 0.75678853, 0.51955621, 1.25895364, 1.18090253, 0.81533901, 0.79231401, 0.74632041, 0.92882826, 0.51558033, 0.59737628, 0.77005234, 2.14583655, 0.57812992, 2.01249633, 0.27853893, 0.91371631, 1.04430500, 2.80759550, 0.48675995, 0.47981208
2.800000, 0, 0, 0, 35.5, 1.210938, 4095.000000, 0, 5.80008959, 2.77350117, 5.44641246, 4.84498852, 0.71709202, 0.35463986, 4.46182873, 2.49959675, 1.64138840, 1.84069628, 1.33931514, 0.56035583, 0.75677500, 0.51955440, 1.25889620, 1.18091958, 0.81535284, 0.79231183, 0.74632513, 0.92882454, 0.51557693, 0.59735141, 0.77001498, 2.14582939, 0.57815193, 2.01240208, 0.27853960, 0.91378026, 1.04431385, 2.80783316, 0.48678466, 0.47980310
3.400000, 0, 0, 0, 35.5, 1.212769, 4095.000000, 0, 5.80078529, 2.77364518, 5.44672393, 4.84474421, 0.71709849, 0.35464075, 4.46200882, 2.49969366, 1.64142481, 1.84066088, 1.33945853, 0.56037798, 0.75679304, 0.51955360, 1.25892930, 1.18090191, 0.81532865, 0.79232350, 0.74629048, 0.92885005, 0.51557733, 0.59736119, 0.76999941, 2.14579664, 0.57812698, 2.01249777, 0.27853592, 0.91376868, 1.04436384, 2.80765729, 0.48677858, 0.47981149
4.000000, 0, 0, 0, 35.5, 1.211548, 4095.000000, 0, 5.80055857, 2.77352126, 5.44707338, 4.84467575, 0.71707076, 0.35464111, 4.46188996, 2.49960572, 1.64149762, 1.84058963, 1.33945343, 0.56037115, 0.75680515, 0.51955902, 1.25893352, 1.18088113, 0.81533852, 0.79232374, 0.74627681, 0.92885988, 0.51556611, 0.59736034, 0.77002648, 2.14581404, 0.57813935, 2.01255067, 0.27853459, 0.91376868, 1.04434927, 2.80758260, 0.48680349, 0.47982789
4.500000, 0, 0, 0, 35.5, 1.211548, 4095.000000, 0, 5.80053434, 2.77335850, 5.44643459, 4.84480596, 0.71710658, 0.35462940, 4.46165586, 2.49955308, 1.64155563, 1.84063167, 1.33944562, 0.56039330, 0.75679589, 0.51955661, 1.25895072, 1.18096145, 0.81533901, 0.79230940, 0.74630179, 0.92882534, 0.51556831, 0.59737224, 0.77002336, 2.14577566, 0.57812069, 2.01247661, 0.27854210, 0.91372000, 1.04431928, 2.80803689, 0.48681016, 0.47979510
5.000000, 0, 0, 0, 35.5, 1.209106, 4095.000000, 0, 5.80042012, 2.77338663, 5.44631444, 4.84563964, 0.71707816, 0.35463969, 4.46188396, 2.49955248, 1.64138200, 1.84057370, 1.33938208, 0.56036018, 0.75680064, 0.51957389, 1.25893449, 1.18093137, 0.81533926, 0.79230502, 0.74631711, 0.92891143, 0.51557953, 0.59736374, 0.77003701, 2.14574905, 0.57814627, 2.01246219, 0.27854795, 0.91373237, 1.04432985, 2.80795404, 0.48680565, 0.47980427
5.600000, 0, 0, 0, 35.5, 1.212769, 4095.000000, 0, 5.80069529, 2.77362040, 5.44650100, 4.84500194, 0.71707677, 0.35464501, 4.46141577, 2.49941909, 1.64146521, 1.84060025, 1.33947518, 0.56037198, 0.75679565, 0.51957831, 1.25898610, 1.18090005, 0.81531359, 0.79232909, 0.74632395, 0.92886227, 0.51558193, 0.59733993, 0.77003749, 2.14577822, 0.57814900, 2.01246844, 0.27854661, 0.91374000, 1.04431899, 2.80771908, 0.48682546, 0.47981091
6.200000, 0, 0, 0, 35.5, 1.212769, 4095.000000, 0, 5.80115569, 2.77369944, 5.44681564, 4.84484488, 0.71707747, 0.35465104, 4.46154781, 2.49954949, 1.64148442, 1.84057326, 1.33940790, 0.56037839, 0.75682865, 0.51957188, 1.25903121, 1.18084609, 0.81532371, 0.79232082, 0.74632654, 0.92886865, 0.51557071, 0.59736097, 0.77003773, 2.14579306, 0.57814082, 2.01241602, 0.27854210, 0.91372026, 1.04433356, 2.80774149, 0.48683762, 0.47980135
6.700000, 0, 0, 0, 35.5, 1.210938, 4095.000000, 0, 5.80099299, 2.77342213, 5.44759050, 4.84451066, 0.71706776, 0.35464111, 4.46156582, 2.49952556, 1.64143121, 1.84056839, 1.33931073, 0.56037922, 0.75679470, 0.51956344, 1.25895721, 1.18096207, 0.81531976, 0.79234149, 0.74630509, 0.92885005, 0.51557753, 0.59734121, 0.77004612, 2.14585446, 0.57813767, 2.01241410, 0.27854461, 0.91370947, 1.04430700, 2.80812994, 0.48683762, 0.47980369
7.300000, 0, 0, 0, 35.5, 1.211548, 4095.000000, 0, 5.80031974, 2.77363446, 5.44695953, 4.84452408, 0.71706614, 0.35465867, 4.46188516, 2.49939456, 1.64147642, 1.84062238, 1.33933315, 0.56038605, 0.75679898, 0.51956304, 1.25896857, 1.18091772, 0.81531976, 0.79233371, 0.74634257, 0.92887263, 0.51557693, 0.59732952, 0.77001282, 2.14576082, 0.57814858, 2.01246171, 0.27854461, 0.91371079, 1.04429786, 2.80802875, 0.48682370, 0.47978749
7.800000, 0, 0, 0, 35.5, 1.213989, 4095.000000, 0, 5.80018130, 2.77353131, 5.44747189, 4.84416707, 0.71708024, 0.35463241, 4.46157783, 2.49965897, 1.64139920, 1.84061839, 1.33937257, 0.56036308, 0.75679922, 0.51955842, 1.25897214, 1.18095370, 0.81531606, 0.79235753, 0.74630156, 0.92886121, 0.51556290, 0.59733929, 0.77001378, 2.14580534, 0.57812488, 2.01257038, 0.27854862, 0.91371026, 1.04433670, 2.80783656, 0.48682919, 0.47979218
