"Sensigent +++ PCNose+ Sensor Values +++ Sensor Resistances (in kOhms) for Cyranose 320 unit +++ Serial Number: B191023297 +++ Firmware version: 40.51"
"6/26/2021","1:29 PM","Heater ON: Temperature set at 42.0 degrees celsius","Sensor values are not filtered"
"Time","","","","Ambient Temp [C]","Therm1 [volts]","Battery Raw Reading","Flag","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30","S31","S32"
0.600000, 0, 0, 0, 34.4, 1.212158, 4095.000000, 0, 5.75819726, 2.76020934, 5.40356906, 4.83086665, 0.69985397, 0.34015817, 4.45353370, 2.49031289, 1.59653753, 1.83321403, 1.31961350, 0.55658105, 0.75323623, 0.51795062, 1.25267164, 1.17312327, 0.81207866, 0.77699001, 0.74616391, 0.90590746, 0.51407648, 0.59480364, 0.75648447, 2.12745117, 0.57612974, 1.95672865, 0.27666684, 0.89108596, 1.01348173, 2.75696882, 0.44524861, 0.47603006
1.100000, 0, 0, 0, 34.4, 1.212158, 4095.000000, 0, 5.75837193, 2.76041255, 5.40342367, 4.83127313, 0.69984369, 0.34016712, 4.45292061, 2.49023841, 1.59659576, 1.83320918, 1.31950228, 0.55659344, 0.75328051, 0.51791429, 1.25267326, 1.17315908, 0.81208901, 0.77700252, 0.74616084, 0.90587840, 0.51406427, 0.59475399, 0.75647877, 2.12751663, 0.57611278, 1.95673848, 0.27666868, 0.89106988, 1.01347473, 2.75716977, 0.44526554, 0.47604991
1.700000, 0, 0, 0, 34.5, 1.212769, 4095.000000, 0, 5.75848838, 2.76049851, 5.40348464, 4.83121697, 0.69985260, 0.34015414, 4.45319720, 2.49021517, 1.59672669, 1.83316509, 1.31949019, 0.55661078, 0.75323054, 0.51794841, 1.25264998, 1.17313284, 0.81211807, 0.77700733, 0.74616037, 0.90590196, 0.51408268, 0.59477691, 0.75651627, 2.12743189, 0.57611801, 1.95670149, 0.27667318, 0.89106806, 1.01351789, 2.75719838, 0.44526326, 0.47604952
2.200000, 0, 0, 0, 34.5, 1.212769, 4095.000000, 0, 5.75816301, 2.76047452, 5.40287030, 4.83159541, 0.69989827, 0.34014993, 4.45383670, 2.49034983, 1.59661569, 1.83313379, 1.31958863, 0.55657053, 0.75323030, 0.51795644, 1.25264416, 1.17322175, 0.81208605, 0.77702177, 0.74614175, 0.90589987, 0.51407628, 0.59477563, 0.75653336, 2.12741210, 0.57609352, 1.95674223, 0.27667101, 0.89106183, 1.01348678, 2.75712119, 0.44526877, 0.47604524
2.800000, 0, 0, 0, 34.4, 1.210327, 4095.000000, 0, 5.75865621, 2.76031994, 5.40351903, 4.83113407, 0.69987475, 0.34016484, 4.45314212, 2.49044160, 1.59655981, 1.83316862, 1.31964172, 0.55658663, 0.75324286, 0.51797691, 1.25267973, 1.17317143, 0.81207940, 0.77700324, 0.74613751, 0.90587604, 0.51407227, 0.59477945, 0.75652861, 2.12746284, 0.57610901, 1.95670008, 0.27666768, 0.89107921, 1.01353442, 2.75711920, 0.44526021, 0.47603298
3.300000, 0, 0, 0, 34.4, 1.210938, 4095.000000, 0, 5.75918544, 2.76031528, 5.40266554, 4.83136807, 0.69988160, 0.34016396, 4.45293138, 2.49023721, 1.59664813, 1.83312894, 1.31967532, 0.55659365, 0.75324286, 0.51793697, 1.25266712, 1.17322298, 0.81208236, 0.77700036, 0.74613916, 0.90589332, 0.51406787, 0.59477627, 0.75656968, 2.12746234, 0.57610859, 1.95674457, 0.27667084, 0.89107195, 1.01349967, 2.75710855, 0.44526972, 0.47604232
3.900000, 0, 0, 0, 34.5, 1.212769, 4095.000000, 0, 5.75803801, 2.76038524, 5.40332362, 4.83147639, 0.69987909, 0.34016607, 4.45325229, 2.49033136, 1.59668917, 1.83314481, 1.31964911, 0.55659344, 0.75324594, 0.51795042, 1.25268587, 1.17316988, 0.81206536, 0.77700156, 0.74614317, 0.90587211, 0.51407147, 0.59478115, 0.75655947, 2.12747350, 0.57610817, 1.95664998, 0.27667301, 0.89111319, 1.01354311, 2.75703003, 0.44526021, 0.47605419
4.500000, 0, 0, 0, 34.4, 1.212158, 4095.000000, 0, 5.75828117, 2.76049651, 5.40357375, 4.83128784, 0.69990467, 0.34017379, 4.45319601, 2.49047795, 1.59664930, 1.83315275, 1.31979999, 0.55660706, 0.75324854, 0.51797089, 1.25259500, 1.17316587, 0.81206930, 0.77697485, 0.74615589, 0.90586923, 0.51407708, 0.59477563, 0.75655543, 2.12744255, 0.57608996, 1.95659192, 0.27666667, 0.89105146, 1.01353218, 2.75710522, 0.44528702, 0.47605302
5.000000, 0, 0, 0, 34.4, 1.210938, 4095.000000, 0, 5.75802260, 2.76026331, 5.40351278, 4.83147104, 0.69993093, 0.34017028, 4.45305830, 2.49039452, 1.59664774, 1.83313732, 1.31969615, 0.55658849, 0.75322652, 0.51798072, 1.25264513, 1.17319489, 0.81210181, 0.77700036, 0.74616862, 0.90591532, 0.51406247, 0.59477861, 0.75656422, 2.12745777, 0.57610503, 1.95671975, 0.27667184, 0.89106884, 1.01354507, 2.75711055, 0.44526630, 0.47604893
5.600000, 0, 0, 0, 34.4, 1.210938, 4095.000000, 0, 5.75791643, 2.76028862, 5.40411941, 4.83112604, 0.69990627, 0.34017115, 4.45302238, 2.49026462, 1.59667119, 1.83319772, 1.31965919, 0.55659468, 0.75321586, 0.51795684, 1.25273082, 1.17317266, 0.81207398, 0.77699530, 0.74615542, 0.90594124, 0.51406887, 0.59480003, 0.75656896, 2.12745219, 0.57609812, 1.95672537, 0.27667401, 0.89111656, 1.01353330, 2.75719439, 0.44528436, 0.47605711
