"Sensigent +++ PCNose+ Sensor Values +++ Sensor Resistances (in kOhms) for Cyranose 320 unit +++ Serial Number: B191023297 +++ Firmware version: 40.51"
"6/26/2021","0:55 PM","Heater ON: Temperature set at 42.0 degrees celsius","Sensor values are not filtered"
"Time","","","","Ambient Temp [C]","Therm1 [volts]","Battery Raw Reading","Flag","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30","S31","S32"
0.600000, 0, 0, 0, 35.0, 1.211548, 4095.000000, 0, 5.78184887, 2.76862565, 5.41964006, 4.84382888, 0.70066901, 0.34218808, 4.46354595, 2.49237366, 1.60431182, 1.83553892, 1.32154488, 0.55754646, 0.75398145, 0.51856753, 1.25365855, 1.17479071, 0.81297627, 0.77937297, 0.74738577, 0.90841488, 0.51447481, 0.59518264, 0.75884361, 2.13805547, 0.57670894, 1.96590686, 0.27724985, 0.89482041, 1.01940268, 2.76887367, 0.44635233, 0.47698737
1.100000, 0, 0, 0, 35.0, 1.212158, 4095.000000, 0, 5.78084989, 2.76865372, 5.41957569, 4.84332166, 0.70073024, 0.34219476, 4.46380781, 2.49246193, 1.60438990, 1.83555083, 1.32150889, 0.55754129, 0.75395468, 0.51857536, 1.25365984, 1.17484386, 0.81300511, 0.77937297, 0.74737940, 0.90844295, 0.51447541, 0.59515377, 0.75882840, 2.13817938, 0.57670035, 1.96603479, 0.27725919, 0.89484927, 1.01937793, 2.76869450, 0.44636869, 0.47699360
1.700000, 0, 0, 0, 35.0, 1.212769, 4095.000000, 0, 5.78121156, 2.76864035, 5.41944696, 4.84322639, 0.70072385, 0.34218211, 4.46377177, 2.49244821, 1.60439854, 1.83555216, 1.32150620, 0.55752291, 0.75396795, 0.51855809, 1.25365499, 1.17485931, 0.81300141, 0.77936357, 0.74737775, 0.90843193, 0.51448081, 0.59516354, 0.75885288, 2.13810901, 0.57669868, 1.96593837, 0.27725085, 0.89480845, 1.01940578, 2.76879278, 0.44638106, 0.47700003
2.200000, 0, 0, 0, 35.0, 1.210938, 4095.000000, 0, 5.78080856, 2.76857217, 5.41929311, 4.84378862, 0.70070899, 0.34218474, 4.46348589, 2.49245120, 1.60439422, 1.83553715, 1.32153311, 0.55754294, 0.75397008, 0.51857937, 1.25367343, 1.17486642, 0.81299697, 0.77937104, 0.74735345, 0.90844688, 0.51449262, 0.59516502, 0.75884741, 2.13814878, 0.57670098, 1.96575872, 0.27725685, 0.89484017, 1.01938777, 2.76886298, 0.44638335, 0.47698367
2.800000, 0, 0, 0, 35.0, 1.212158, 4095.000000, 0, 5.78110994, 2.76854008, 5.41934491, 4.84402883, 0.70072682, 0.34221830, 4.46354114, 2.49240050, 1.60437185, 1.83560910, 1.32156910, 0.55753179, 0.75396155, 0.51857656, 1.25365337, 1.17487723, 0.81300437, 0.77941587, 0.74736477, 0.90845501, 0.51447681, 0.59515207, 0.75886168, 2.13809779, 0.57669889, 1.96581845, 0.27725919, 0.89484095, 1.01940549, 2.76880816, 0.44639077, 0.47698425
3.300000, 0, 0, 0, 35.0, 1.211548, 4095.000000, 0, 5.78093944, 2.76846454, 5.41964320, 4.84321566, 0.70069437, 0.34219985, 4.46392193, 2.49258658, 1.60438951, 1.83562234, 1.32167641, 0.55752704, 0.75397032, 0.51857958, 1.25367829, 1.17481080, 0.81297356, 0.77936863, 0.74737987, 0.90844216, 0.51448962, 0.59516608, 0.75884290, 2.13811462, 0.57669805, 1.96588852, 0.27725519, 0.89483003, 1.01945050, 2.76848794, 0.44642008, 0.47698309
3.900000, 0, 0, 0, 35.0, 1.210938, 4095.000000, 0, 5.78063635, 2.76845585, 5.41997134, 4.84387719, 0.70071425, 0.34221707, 4.46418863, 2.49258718, 1.60439069, 1.83552744, 1.32155935, 0.55751898, 0.75397032, 0.51857837, 1.25370094, 1.17484108, 0.81299623, 0.77942190, 0.74740511, 0.90845947, 0.51447801, 0.59516905, 0.75887784, 2.13816969, 0.57670643, 1.96583820, 0.27725452, 0.89484069, 1.01945922, 2.76849730, 0.44642103, 0.47699672
4.500000, 0, 0, 0, 35.0, 1.211548, 4095.000000, 0, 5.78090500, 2.76852337, 5.41962750, 4.84370676, 0.70072407, 0.34220020, 4.46359880, 2.49252515, 1.60447388, 1.83555790, 1.32157415, 0.55751609, 0.75399401, 0.51857435, 1.25373815, 1.17487167, 0.81299130, 0.77940189, 0.74740770, 0.90844557, 0.51448482, 0.59516269, 0.75886572, 2.13806108, 0.57670350, 1.96582127, 0.27725368, 0.89482041, 1.01945500, 2.76844048, 0.44643093, 0.47698990
5.000000, 0, 0, 0, 35.0, 1.212769, 4095.000000, 0, 5.78084128, 2.76856214, 5.41955057, 4.84343973, 0.70072979, 0.34220916, 4.46387268, 2.49252813, 1.60441423, 1.83563735, 1.32150284, 0.55752497, 0.75397908, 0.51858901, 1.25372359, 1.17484077, 0.81296666, 0.77937803, 0.74740322, 0.90843639, 0.51448321, 0.59514974, 0.75884908, 2.13817683, 0.57670098, 1.96586971, 0.27724918, 0.89484381, 1.01945359, 2.76871590, 0.44641780, 0.47699847
5.600000, 0, 0, 0, 35.0, 1.212769, 4095.000000, 0, 5.78065012, 2.76856749, 5.41969501, 4.84349743, 0.70072842, 0.34221390, 4.46335857, 2.49265040, 1.60445033, 1.83562720, 1.32159736, 0.55751051, 0.75398098, 0.51857837, 1.25370870, 1.17491802, 0.81299993, 0.77939466, 0.74738081, 0.90841331, 0.51447981, 0.59517563, 0.75885811, 2.13817224, 0.57669742, 1.96598729, 0.27725952, 0.89487631, 1.01949044, 2.76858420, 0.44644882, 0.47699496
